product_name,driver_name,driver_direction,driver_share,exposure_type
MDI,MDI,1,1.0,product_price
TDI,TDI,1,1.0,product_price
苯胺,苯胺,1,1.0,product_price
尿素,尿素,1,1.0,product_price
DMF,DMF,1,1.0,product_price
醋酸,醋酸,1,1.0,product_price
己内酰胺,己内酰胺,1,1.0,product_price
甲醇,甲醇,1,1.0,product_price
双氧水,双氧水,1,1.0,product_price
R32,R32,1,1.0,product_price
R134a,R134a,1,1.0,product_price
R125,R125,1,1.0,product_price
氢氟酸,氢氟酸,1,1.0,product_price
萤石,萤石,1,1.0,product_price
钛白粉,钛白粉,1,1.0,product_price
钛精矿,钛精矿,1,1.0,product_price
黄磷,黄磷,1,1.0,product_price
磷酸一铵,磷酸一铵,1,1.0,product_price
草甘膦,草甘膦,1,1.0,product_price
磷酸二铵,磷酸二铵,1,1.0,product_price
PVC,PVC,1,1.0,product_price
烧碱,烧碱,1,1.0,product_price
麦草畏,麦草畏,1,1.0,product_price
菊酯,菊酯,1,1.0,product_price
草铵膦,草铵膦,1,1.0,product_price
吡啶,吡啶,1,1.0,product_price
涤纶长丝,涤纶长丝,1,1.0,product_price
PTA,PTA,1,1.0,product_price
PX,PX,1,1.0,product_price
